"log_stars","Stars","Forks","Issues","Size","language","age_group","created_year","log_size"
6.21060007702465,497,264,12,62279,"C++","Old",2016,11.0393956259479
5.28826703069454,197,17,28,11632,"JavaScript","New",2020,9.36160116581677
6.27476202124194,530,147,0,39864,"","New",2021,10.5932540249366
6.01126717440416,407,47,11,199,"JavaScript","Old",2015,5.29831736654804
6.45990445437753,638,442,27,22226,"Java","Old",2009,10.0090630450848
5.26269018890489,192,17,4,55,"JavaScript","Old",2018,4.02535169073515
5.15329159449778,172,46,0,1066,"Kotlin","New",2020,6.97260625130175
5.77765232322266,322,74,20,773,"PHP","Old",2014,6.65157187358973
5.76519110278484,318,60,12,13,"JavaScript","Old",2014,2.63905732961526
6.83087423464618,925,331,29,473,"JavaScript","Old",2015,6.16120732169508
5.70044357339069,298,44,14,4130,"C++","New",2023,8.32627478739676
6.69084227741856,804,193,20,2117,"CSS","Old",2011,7.65822752616135
5.51745289646471,248,9,9,330,"Kotlin","New",2020,5.80211837537706
5.17048399503815,175,72,4,3007,"TypeScript","New",2020,8.00903068506973
5.97380961186926,392,46,28,4061,"Rust","Old",2015,8.30943074214033
5.64190707093811,281,14,9,1309,"Go","New",2022,7.1777824161952
5.27811465923052,195,28,9,24,"Python","New",2020,3.2188758248682
7.57967882309046,1957,252,8,72765,"Python","New",2020,11.1950040921239
5.22035582507832,184,8,2,1766,"TypeScript","New",2020,7.4770384723197
5.31320597904179,202,42,7,900,"Java","Old",2011,6.80350525760834
5.30330490805908,200,22,11,113248,"Swift","Old",2017,11.6373442132842
7.48324441607385,1777,392,71,1382,"C","Old",2015,7.23201033166476
5.65599181081985,285,51,16,5424,"Python","New",2019,8.59877317840866
5.71373280550937,302,114,1,114721,"C++","New",2019,11.6502670894332
5.8406416573734,343,55,22,359,"Java","Old",2017,5.88610403145016
6.42971947803914,619,244,16,3368,"Python","Old",2015,8.12237124340655
5.78689738136671,325,69,14,73381,"Jupyter Notebook","Old",2016,11.2034339529208
6.12905021006055,458,226,0,1381,"TypeScript","New",2023,7.23128700432762
6.64509096950564,768,237,7,3285,"Shell","New",2022,8.09742629859721
5.54907608489522,256,60,2,1092,"C++","Old",2014,6.99668148817654
5.29330482472449,198,77,6,12372,"C++","New",2022,9.42327195821398
5.34233425196481,208,45,0,27244,"Shell","New",2021,10.2126252970172
7.97693875695943,2912,522,77,913,"C#","Old",2017,6.81783057145415
5.33271879326537,206,49,2,208,"Java","Old",2014,5.34233425196481
5.83188247728352,340,74,0,36,"JavaScript","Old",2016,3.61091791264422
5.50938833662798,246,37,5,598,"Python","New",2020,6.39526159811545
5.66296048013595,287,67,4,39,"Python","Old",2017,3.68887945411394
6.56526497003536,709,82,21,127503,"C#","New",2020,11.7559030156375
5.42053499927229,225,165,1,2181,"Python","Old",2016,7.68799716639302
6.41836493593621,612,44,43,48565,"TypeScript","New",2020,10.790678976585
5.52545293913178,250,38,0,427,"HTML","Old",2017,6.0591231955818
5.3082676974012,201,31,3,19,"Python","New",2021,2.99573227355399
5.88610403145016,359,136,13,1547,"Ruby","Old",2013,7.34471905414967
5.62401750618734,276,57,2,9134,"Java","Old",2015,9.11986846881211
6.30444880242198,546,172,40,21955,"JavaScript","Old",2012,9.99679572966978
5.56068163101553,259,40,0,279,"JavaScript","New",2022,5.63478960316925
5.97126183979046,391,31,4,1998,"CSS","Old",2014,7.6004023345004
5.15329159449778,172,6,3,411,"PHP","Old",2015,6.02102334934953
7.31521838975297,1502,22,0,13938,"HTML","Old",2016,9.54244594572989
5.27811465923052,195,48,0,175011,"","Old",2016,12.0726098219833
7.10906213568717,1222,66,2,2665,"C","New",2023,7.88833450073865
5.16478597392351,174,59,17,150,"JavaScript","Old",2010,5.01727983681492
6.23048144757848,507,360,8,13947,"Java","Old",2016,9.54309140779554
